account_id,country_ES,country_FR,country_IT,country_NL,country_UK,industry_Hospitality,industry_Retail,industry_Services,industry_Subscription,account_age_months,monthly_tpv,tpv_trend_3m_pct,txn_count_monthly,avg_ticket_size,num_products_used,login_freq_monthly,disputes_90d,chargebacks_90d,support_tickets_90d,failed_txn_ratio,churn
SMB_EU_000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,2985.9,-22.65,11.0,271.45,3.0,9.0,1.0,0.0,1.0,0.121,0
SMB_EU_000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,31.0,2313.88,-16.33,20.0,115.69,4.0,7.0,2.0,0.0,1.0,0.205,0
SMB_EU_000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,1237.23,-14.85,9.0,137.47,4.0,10.0,1.0,0.0,1.0,0.04,0
SMB_EU_000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,9526.22,-26.94,66.0,144.34,2.0,10.0,0.0,1.0,0.0,0.184,0
SMB_EU_000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,5518.22,16.27,37.0,149.14,1.0,12.0,2.0,2.0,0.0,0.199,0
SMB_EU_000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,6850.24,-29.82,45.0,152.23,1.0,7.0,1.0,1.0,0.0,0.17,1
SMB_EU_000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,20104.48,5.15,86.0,233.77,2.0,6.0,2.0,1.0,2.0,0.081,0
SMB_EU_000008,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,5869.75,12.18,42.0,139.76,3.0,12.0,1.0,0.0,0.0,0.064,0
SMB_EU_000009,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,8328.42,-4.4,58.0,143.59,2.0,11.0,2.0,1.0,2.0,0.094,0
SMB_EU_000010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15882.35,-62.78,77.0,206.26,2.0,8.0,0.0,0.0,1.0,0.093,1
SMB_EU_000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,4753.88,-41.08,39.0,121.89,3.0,11.0,0.0,0.0,1.0,0.057,0
SMB_EU_000012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1946.02,0.03,12.0,162.17,1.0,14.0,1.0,0.0,1.0,0.126,0
SMB_EU_000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,5503.51,15.05,59.0,93.28,4.0,10.0,1.0,0.0,1.0,0.09,1
SMB_EU_000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,21532.67,-39.43,74.0,290.98,1.0,7.0,1.0,0.0,1.0,0.081,0
SMB_EU_000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,9962.59,-45.5,67.0,148.7,1.0,13.0,0.0,0.0,0.0,0.057,0
SMB_EU_000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,10305.31,8.42,39.0,264.24,3.0,8.0,1.0,1.0,2.0,0.043,0
SMB_EU_000017,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,32696.97,0.76,166.0,196.97,4.0,9.0,3.0,0.0,2.0,0.053,0
SMB_EU_000018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,22239.75,11.28,171.0,130.06,3.0,10.0,0.0,0.0,1.0,0.069,0
SMB_EU_000019,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,36735.71,3.93,300.0,122.45,3.0,14.0,1.0,0.0,1.0,0.061,0
SMB_EU_000020,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,12328.06,-2.02,53.0,232.6,4.0,8.0,1.0,0.0,0.0,0.147,0
SMB_EU_000021,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,10886.17,-4.53,37.0,294.22,2.0,9.0,1.0,1.0,2.0,0.078,0
SMB_EU_000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,5638.0,-3.59,47.0,119.96,3.0,8.0,1.0,0.0,0.0,0.046,0
SMB_EU_000023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,16733.8,23.02,159.0,105.24,1.0,14.0,2.0,0.0,0.0,0.122,0
SMB_EU_000024,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,5843.38,7.43,35.0,166.95,1.0,8.0,0.0,0.0,2.0,0.107,0
SMB_EU_000025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,43.0,4288.11,1.18,26.0,164.93,2.0,9.0,1.0,0.0,1.0,0.084,0
SMB_EU_000026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7595.33,8.07,30.0,253.18,3.0,6.0,3.0,0.0,1.0,0.053,0
SMB_EU_000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,4388.21,12.4,24.0,182.84,2.0,11.0,1.0,0.0,0.0,0.137,0
SMB_EU_000028,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,80.0,4381.36,6.28,47.0,93.22,2.0,11.0,0.0,0.0,1.0,0.1,0
SMB_EU_000029,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,13651.5,-59.36,48.0,284.41,4.0,9.0,0.0,0.0,2.0,0.044,0
SMB_EU_000030,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,9108.93,26.77,56.0,162.66,2.0,12.0,0.0,0.0,2.0,0.128,0
