account_id,country,industry,account_age_months,monthly_tpv,tpv_trend_3m_pct,txn_count_monthly,avg_ticket_size,num_products_used,login_freq_monthly,disputes_90d,chargebacks_90d,support_tickets_90d,failed_txn_ratio,churn
SMB_EU_000001,FR,Hospitality,16,2985.9,-22.65,11,271.45,3,9,1,0,1,0.121,0
SMB_EU_000002,UK,Retail,31,2313.88,-16.33,20,115.69,4,7,2,0,1,0.205,0
SMB_EU_000003,ES,Services,44,1237.23,-14.85,9,137.47,4,10,1,0,1,0.04,0
SMB_EU_000004,IT,Hospitality,27,9526.22,-26.94,66,144.34,2,10,0,1,0,0.184,0
SMB_EU_000005,DE,Retail,34,5518.22,16.27,37,149.14,1,12,2,2,0,0.199,0
SMB_EU_000006,DE,Subscription,25,6850.24,-29.82,45,152.23,1,7,1,1,0,0.17,1
SMB_EU_000007,DE,E-commerce,38,20104.48,5.15,86,233.77,2,6,2,1,2,0.081,0
SMB_EU_000008,UK,Retail,9,5869.75,12.18,42,139.76,3,12,1,0,0,0.064,0
SMB_EU_000009,IT,Hospitality,64,8328.42,-4.4,58,143.59,2,11,2,1,2,0.094,0
SMB_EU_000010,ES,E-commerce,15,15882.35,-62.78,77,206.26,2,8,0,0,1,0.093,1
SMB_EU_000011,DE,Services,24,4753.88,-41.08,39,121.89,3,11,0,0,1,0.057,0
SMB_EU_000012,UK,Services,4,1946.02,0.03,12,162.17,1,14,1,0,1,0.126,0
SMB_EU_000013,ES,Subscription,18,5503.51,15.05,59,93.28,4,10,1,0,1,0.09,1
SMB_EU_000014,DE,E-commerce,32,21532.67,-39.43,74,290.98,1,7,1,0,1,0.081,0
SMB_EU_000015,DE,E-commerce,70,9962.59,-45.5,67,148.7,1,13,0,0,0,0.057,0
SMB_EU_000016,DE,Services,39,10305.31,8.42,39,264.24,3,8,1,1,2,0.043,0
SMB_EU_000017,FR,Retail,19,32696.97,0.76,166,196.97,4,9,3,0,2,0.053,0
SMB_EU_000018,NL,E-commerce,7,22239.75,11.28,171,130.06,3,10,0,0,1,0.069,0
SMB_EU_000019,NL,E-commerce,60,36735.71,3.93,300,122.45,3,14,1,0,1,0.061,0
SMB_EU_000020,FR,Retail,18,12328.06,-2.02,53,232.6,4,8,1,0,0,0.147,0
SMB_EU_000021,IT,E-commerce,32,10886.17,-4.53,37,294.22,2,9,1,1,2,0.078,0
SMB_EU_000022,DE,Services,19,5638.0,-3.59,47,119.96,3,8,1,0,0,0.046,0
SMB_EU_000023,FR,Services,34,16733.8,23.02,159,105.24,1,14,2,0,0,0.122,0
SMB_EU_000024,FR,Retail,58,5843.38,7.43,35,166.95,1,8,0,0,2,0.107,0
SMB_EU_000025,NL,Retail,43,4288.11,1.18,26,164.93,2,9,1,0,1,0.084,0
SMB_EU_000026,ES,E-commerce,21,7595.33,8.07,30,253.18,3,6,3,0,1,0.053,0
SMB_EU_000027,DE,Services,60,4388.21,12.4,24,182.84,2,11,1,0,0,0.137,0
SMB_EU_000028,NL,Retail,80,4381.36,6.28,47,93.22,2,11,0,0,1,0.1,0
SMB_EU_000029,IT,Services,50,13651.5,-59.36,48,284.41,4,9,0,0,2,0.044,0
SMB_EU_000030,DE,Retail,19,9108.93,26.77,56,162.66,2,12,0,0,2,0.128,0
SMB_EU_000031,IT,Hospitality,45,10748.81,3.69,47,228.7,4,10,1,1,1,0.208,0
SMB_EU_000032,DE,E-commerce,50,12539.09,30.21,55,227.98,3,7,0,2,0,0.207,0
SMB_EU_000033,DE,Services,22,2522.67,2.81,27,93.43,2,7,0,1,1,0.228,0
SMB_EU_000034,UK,Retail,80,3646.64,-3.68,45,81.04,1,9,1,0,1,0.143,0
SMB_EU_000035,UK,Hospitality,56,3479.76,20.76,35,99.42,1,9,0,0,0,0.298,0
SMB_EU_000036,ES,Retail,22,9854.78,4.52,34,289.85,2,11,1,2,0,0.073,0
SMB_EU_000037,FR,Services,19,6830.29,2.0,27,252.97,3,8,2,0,1,0.095,0
SMB_EU_000038,DE,Services,49,7180.4,-18.01,66,108.79,2,10,0,0,1,0.166,0
SMB_EU_000039,IT,Retail,94,3274.74,9.9,15,218.32,3,10,1,0,1,0.179,0
SMB_EU_000040,NL,Services,9,4998.77,-7.4,23,217.34,3,11,1,0,2,0.041,0
SMB_EU_000041,DE,Hospitality,36,3241.78,-6.72,40,81.04,1,9,0,0,0,0.093,0
SMB_EU_000042,NL,Retail,45,10178.94,-7.36,58,175.5,3,8,2,1,2,0.01,0
SMB_EU_000043,DE,E-commerce,58,19995.28,6.59,85,235.24,1,11,0,0,0,0.107,0
SMB_EU_000044,UK,Retail,45,3959.58,-23.03,33,119.99,1,8,1,0,2,0.106,1
